세가지 보석,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,전설의 뿔피리,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,황금 인장 반지,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,화염 부적,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,아누비스의 가면,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,잊혀진 기억 로켓,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,요정의 목걸이,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,결의의 증표,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,고룡의 비늘,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,어둠에 물든 구슬,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,시간의 모래시계,레벨,효과,다음 레벨 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,125,올스텟 +125,26,"1,625",💎 450,"8,450",,,,,,,,,,,125,환생 포인트 획득량 125% 증가,232,"13,760","💎 2,000","33,100",,,125,최종 STR 125% 증가,338,"19,708","💎 1,950","27,950",,,125,최종 DEX 125% 증가,338,"19,708","💎 1,950","27,950",,,125,최종 INT 125% 증가,338,"19,708","💎 1,950","27,950",,,125,최종 LUK 125% 증가,338,"19,708","💎 1,950","27,950",,,125,최종 공격력 125% 증가,454,"26,618","💎 2,000","33,100",,,125,최종 크리티컬 데미지 125% 증가,570,"33,527","💎 2,000","36,360",,,,,,,,,,,,,,,,
,126,올스텟 +126,26,"1,651",-,"8,450",,,,,,,,,,,126,환생 포인트 획득량 126% 증가,234,"13,992",-,"33,100",,,126,최종 STR 126% 증가,341,"20,046",-,"27,950",,,126,최종 DEX 126% 증가,341,"20,046",-,"27,950",,,126,최종 INT 126% 증가,341,"20,046",-,"27,950",,,126,최종 LUK 126% 증가,341,"20,046",-,"27,950",,,126,최종 공격력 126% 증가,458,"27,072",-,"33,100",,,126,최종 크리티컬 데미지 126% 증가,575,"34,097",-,"36,360",,,,,,,,,,,,,,,,
,127,올스텟 +127,26,"1,677",-,"8,450",,,,,,,,,,,127,환생 포인트 획득량 127% 증가,236,"14,226",-,"33,100",,,127,최종 STR 127% 증가,344,"20,387",-,"27,950",,,127,최종 DEX 127% 증가,344,"20,387",-,"27,950",,,127,최종 INT 127% 증가,344,"20,387",-,"27,950",,,127,최종 LUK 127% 증가,344,"20,387",-,"27,950",,,127,최종 공격력 127% 증가,462,"27,530",-,"33,100",,,127,최종 크리티컬 데미지 127% 증가,580,"34,672",-,"36,360",,,,,,,,,,,,,,,,
,128,올스텟 +128,26,"1,703",-,"8,450",,,,,,,,,,,128,환생 포인트 획득량 128% 증가,238,"14,462",-,"33,100",,,128,최종 STR 128% 증가,347,"20,731",-,"27,950",,,128,최종 DEX 128% 증가,347,"20,731",-,"27,950",,,128,최종 INT 128% 증가,347,"20,731",-,"27,950",,,128,최종 LUK 128% 증가,347,"20,731",-,"27,950",,,128,최종 공격력 128% 증가,466,"27,992",-,"33,100",,,128,최종 크리티컬 데미지 128% 증가,585,"35,252",-,"36,360",,,,,,,,,,,,,,,,
,129,올스텟 +129,26,"1,729",-,"8,450",,,,,,,,,,,129,환생 포인트 획득량 129% 증가,240,"14,700",-,"33,100",,,129,최종 STR 129% 증가,350,"21,078",-,"27,950",,,129,최종 DEX 129% 증가,350,"21,078",-,"27,950",,,129,최종 INT 129% 증가,350,"21,078",-,"27,950",,,129,최종 LUK 129% 증가,350,"21,078",-,"27,950",,,129,최종 공격력 129% 증가,470,"28,458",-,"33,100",,,129,최종 크리티컬 데미지 129% 증가,590,"35,837",-,"36,360",,,,,,,,,,,,,,,,
,130,올스텟 +130,27,"1,755",💎 460,"8,910",,,,,,,,,,,130,환생 포인트 획득량 130% 증가,242,"14,940","💎 2,000","35,100",,,130,최종 STR 130% 증가,353,"21,428","💎 2,000","29,950",,,130,최종 DEX 130% 증가,353,"21,428","💎 2,000","29,950",,,130,최종 INT 130% 증가,353,"21,428","💎 2,000","29,950",,,130,최종 LUK 130% 증가,353,"21,428","💎 2,000","29,950",,,130,최종 공격력 130% 증가,474,"28,928","💎 2,000","35,100",,,130,최종 크리티컬 데미지 130% 증가,595,"36,427","💎 2,000","38,360",,,,,,,,,,,,,,,,
,131,올스텟 +131,27,"1,782",-,"8,910",,,,,,,,,,,131,환생 포인트 획득량 131% 증가,244,"15,182",-,"35,100",,,131,최종 STR 131% 증가,356,"21,781",-,"29,950",,,131,최종 DEX 131% 증가,356,"21,781",-,"29,950",,,131,최종 INT 131% 증가,356,"21,781",-,"29,950",,,131,최종 LUK 131% 증가,356,"21,781",-,"29,950",,,131,최종 공격력 131% 증가,478,"29,402",-,"35,100",,,131,최종 크리티컬 데미지 131% 증가,600,"37,022",-,"38,360",,,,,,,,,,,,,,,,
,132,올스텟 +132,27,"1,809",-,"8,910",,,,,,,,,,,132,환생 포인트 획득량 132% 증가,246,"15,426",-,"35,100",,,132,최종 STR 132% 증가,359,"22,137",-,"29,950",,,132,최종 DEX 132% 증가,359,"22,137",-,"29,950",,,132,최종 INT 132% 증가,359,"22,137",-,"29,950",,,132,최종 LUK 132% 증가,359,"22,137",-,"29,950",,,132,최종 공격력 132% 증가,482,"29,880",-,"35,100",,,132,최종 크리티컬 데미지 132% 증가,605,"37,622",-,"38,360",,,,,,,,,,,,,,,,
,133,올스텟 +133,27,"1,836",-,"8,910",,,,,,,,,,,133,환생 포인트 획득량 133% 증가,248,"15,672",-,"35,100",,,133,최종 STR 133% 증가,362,"22,496",-,"29,950",,,133,최종 DEX 133% 증가,362,"22,496",-,"29,950",,,133,최종 INT 133% 증가,362,"22,496",-,"29,950",,,133,최종 LUK 133% 증가,362,"22,496",-,"29,950",,,133,최종 공격력 133% 증가,486,"30,362",-,"35,100",,,133,최종 크리티컬 데미지 133% 증가,610,"38,227",-,"38,360",,,,,,,,,,,,,,,,
,134,올스텟 +134,27,"1,863",-,"8,910",,,,,,,,,,,134,환생 포인트 획득량 134% 증가,250,"15,920",-,"35,100",,,134,최종 STR 134% 증가,365,"22,858",-,"29,950",,,134,최종 DEX 134% 증가,365,"22,858",-,"29,950",,,134,최종 INT 134% 증가,365,"22,858",-,"29,950",,,134,최종 LUK 134% 증가,365,"22,858",-,"29,950",,,134,최종 공격력 134% 증가,490,"30,848",-,"35,100",,,134,최종 크리티컬 데미지 134% 증가,615,"38,837",-,"38,360",,,,,,,,,,,,,,,,
,135,올스텟 +135,28,"1,890",💎 470,"9,380",,,,,,,,,,,135,환생 포인트 획득량 135% 증가,252,"16,170","💎 2,000","37,100",,,135,최종 STR 135% 증가,368,"23,223","💎 2,000","31,950",,,135,최종 DEX 135% 증가,368,"23,223","💎 2,000","31,950",,,135,최종 INT 135% 증가,368,"23,223","💎 2,000","31,950",,,135,최종 LUK 135% 증가,368,"23,223","💎 2,000","31,950",,,135,최종 공격력 135% 증가,494,"31,338","💎 2,000","37,100",,,135,최종 크리티컬 데미지 135% 증가,620,"39,452","💎 2,000","40,360",,,,,,,,,,,,,,,,
,136,올스텟 +136,28,"1,918",-,"9,380",,,,,,,,,,,136,환생 포인트 획득량 136% 증가,254,"16,422",-,"37,100",,,136,최종 STR 136% 증가,371,"23,591",-,"31,950",,,136,최종 DEX 136% 증가,371,"23,591",-,"31,950",,,136,최종 INT 136% 증가,371,"23,591",-,"31,950",,,136,최종 LUK 136% 증가,371,"23,591",-,"31,950",,,136,최종 공격력 136% 증가,498,"31,832",-,"37,100",,,136,최종 크리티컬 데미지 136% 증가,625,"40,072",-,"40,360",,,,,,,,,,,,,,,,
,137,올스텟 +137,28,"1,946",-,"9,380",,,,,,,,,,,137,환생 포인트 획득량 137% 증가,256,"16,676",-,"37,100",,,137,최종 STR 137% 증가,374,"23,962",-,"31,950",,,137,최종 DEX 137% 증가,374,"23,962",-,"31,950",,,137,최종 INT 137% 증가,374,"23,962",-,"31,950",,,137,최종 LUK 137% 증가,374,"23,962",-,"31,950",,,137,최종 공격력 137% 증가,502,"32,330",-,"37,100",,,137,최종 크리티컬 데미지 137% 증가,630,"40,697",-,"40,360",,,,,,,,,,,,,,,,
,138,올스텟 +138,28,"1,974",-,"9,380",,,,,,,,,,,138,환생 포인트 획득량 138% 증가,258,"16,932",-,"37,100",,,138,최종 STR 138% 증가,377,"24,336",-,"31,950",,,138,최종 DEX 138% 증가,377,"24,336",-,"31,950",,,138,최종 INT 138% 증가,377,"24,336",-,"31,950",,,138,최종 LUK 138% 증가,377,"24,336",-,"31,950",,,138,최종 공격력 138% 증가,506,"32,832",-,"37,100",,,138,최종 크리티컬 데미지 138% 증가,635,"41,327",-,"40,360",,,,,,,,,,,,,,,,
,139,올스텟 +139,28,"2,002",-,"9,380",,,,,,,,,,,139,환생 포인트 획득량 139% 증가,260,"17,190",-,"37,100",,,139,최종 STR 139% 증가,380,"24,713",-,"31,950",,,139,최종 DEX 139% 증가,380,"24,713",-,"31,950",,,139,최종 INT 139% 증가,380,"24,713",-,"31,950",,,139,최종 LUK 139% 증가,380,"24,713",-,"31,950",,,139,최종 공격력 139% 증가,510,"33,338",-,"37,100",,,139,최종 크리티컬 데미지 139% 증가,641,"41,962",-,"40,360",,,,,,,,,,,,,,,,
,140,올스텟 +140,29,"2,030",💎 480,"9,860",,,,,,,,,,,140,환생 포인트 획득량 140% 증가,262,"17,450","💎 2,000","39,100",,,140,최종 STR 140% 증가,383,"25,093","💎 2,000","33,950",,,140,최종 DEX 140% 증가,383,"25,093","💎 2,000","33,950",,,140,최종 INT 140% 증가,383,"25,093","💎 2,000","33,950",,,140,최종 LUK 140% 증가,383,"25,093","💎 2,000","33,950",,,140,최종 공격력 140% 증가,514,"33,848","💎 2,000","39,100",,,140,최종 크리티컬 데미지 140% 증가,646,"42,603","💎 2,000","42,360",,,,,,,,,,,,,,,,
,141,올스텟 +141,29,"2,059",-,"9,860",,,,,,,,,,,141,환생 포인트 획득량 141% 증가,264,"17,712",-,"39,100",,,141,최종 STR 141% 증가,386,"25,476",-,"33,950",,,141,최종 DEX 141% 증가,386,"25,476",-,"33,950",,,141,최종 INT 141% 증가,386,"25,476",-,"33,950",,,141,최종 LUK 141% 증가,386,"25,476",-,"33,950",,,141,최종 공격력 141% 증가,519,"34,362",-,"39,100",,,141,최종 크리티컬 데미지 141% 증가,651,"43,249",-,"42,360",,,,,,,,,,,,,,,,
,142,올스텟 +142,29,"2,088",-,"9,860",,,,,,,,,,,142,환생 포인트 획득량 142% 증가,266,"17,976",-,"39,100",,,142,최종 STR 142% 증가,389,"25,862",-,"33,950",,,142,최종 DEX 142% 증가,389,"25,862",-,"33,950",,,142,최종 INT 142% 증가,389,"25,862",-,"33,950",,,142,최종 LUK 142% 증가,389,"25,862",-,"33,950",,,142,최종 공격력 142% 증가,523,"34,881",-,"39,100",,,142,최종 크리티컬 데미지 142% 증가,656,"43,900",-,"42,360",,,,,,,,,,,,,,,,
,143,올스텟 +143,29,"2,117",-,"9,860",,,,,,,,,,,143,환생 포인트 획득량 143% 증가,268,"18,242",-,"39,100",,,143,최종 STR 143% 증가,392,"26,251",-,"33,950",,,143,최종 DEX 143% 증가,392,"26,251",-,"33,950",,,143,최종 INT 143% 증가,392,"26,251",-,"33,950",,,143,최종 LUK 143% 증가,392,"26,251",-,"33,950",,,143,최종 공격력 143% 증가,527,"35,404",-,"39,100",,,143,최종 크리티컬 데미지 143% 증가,661,"44,556",-,"42,360",,,,,,,,,,,,,,,,
,144,올스텟 +144,29,"2,146",-,"9,860",,,,,,,,,,,144,환생 포인트 획득량 144% 증가,270,"18,510",-,"39,100",,,144,최종 STR 144% 증가,396,"26,643",-,"33,950",,,144,최종 DEX 144% 증가,396,"26,643",-,"33,950",,,144,최종 INT 144% 증가,396,"26,643",-,"33,950",,,144,최종 LUK 144% 증가,396,"26,643",-,"33,950",,,144,최종 공격력 144% 증가,531,"35,931",-,"39,100",,,144,최종 크리티컬 데미지 144% 증가,666,"45,217",-,"42,360",,,,,,,,,,,,,,,,
,145,올스텟 +145,30,"2,175",💎 490,"10,350",,,,,,,,,,,145,환생 포인트 획득량 145% 증가,272,"18,780","💎 2,000","41,100",,,145,최종 STR 145% 증가,399,"27,039","💎 2,000","35,950",,,145,최종 DEX 145% 증가,399,"27,039","💎 2,000","35,950",,,145,최종 INT 145% 증가,399,"27,039","💎 2,000","35,950",,,145,최종 LUK 145% 증가,399,"27,039","💎 2,000","35,950",,,145,최종 공격력 145% 증가,535,"36,462","💎 2,000","41,100",,,145,최종 크리티컬 데미지 145% 증가,671,"45,883","💎 2,000","44,360",,,,,,,,,,,,,,,,
,146,올스텟 +146,30,"2,205",-,"10,350",,,,,,,,,,,146,환생 포인트 획득량 146% 증가,274,"19,052",-,"41,100",,,146,최종 STR 146% 증가,402,"27,438",-,"35,950",,,146,최종 DEX 146% 증가,402,"27,438",-,"35,950",,,146,최종 INT 146% 증가,402,"27,438",-,"35,950",,,146,최종 LUK 146% 증가,402,"27,438",-,"35,950",,,146,최종 공격력 146% 증가,539,"36,997",-,"41,100",,,146,최종 크리티컬 데미지 146% 증가,676,"46,554",-,"44,360",,,,,,,,,,,,,,,,
,147,올스텟 +147,30,"2,235",-,"10,350",,,,,,,,,,,147,환생 포인트 획득량 147% 증가,276,"19,326",-,"41,100",,,147,최종 STR 147% 증가,405,"27,840",-,"35,950",,,147,최종 DEX 147% 증가,405,"27,840",-,"35,950",,,147,최종 INT 147% 증가,405,"27,840",-,"35,950",,,147,최종 LUK 147% 증가,405,"27,840",-,"35,950",,,147,최종 공격력 147% 증가,543,"37,536",-,"41,100",,,147,최종 크리티컬 데미지 147% 증가,681,"47,230",-,"44,360",,,,,,,,,,,,,,,,
,148,올스텟 +148,30,"2,265",-,"10,350",,,,,,,,,,,148,환생 포인트 획득량 148% 증가,278,"19,602",-,"41,100",,,148,최종 STR 148% 증가,408,"28,245",-,"35,950",,,148,최종 DEX 148% 증가,408,"28,245",-,"35,950",,,148,최종 INT 148% 증가,408,"28,245",-,"35,950",,,148,최종 LUK 148% 증가,408,"28,245",-,"35,950",,,148,최종 공격력 148% 증가,547,"38,079",-,"41,100",,,148,최종 크리티컬 데미지 148% 증가,687,"47,911",-,"44,360",,,,,,,,,,,,,,,,
,149,올스텟 +149,30,"2,295",-,"10,350",,,,,,,,,,,149,환생 포인트 획득량 149% 증가,280,"19,880",-,"41,100",,,149,최종 STR 149% 증가,411,"28,653",-,"35,950",,,149,최종 DEX 149% 증가,411,"28,653",-,"35,950",,,149,최종 INT 149% 증가,411,"28,653",-,"35,950",,,149,최종 LUK 149% 증가,411,"28,653",-,"35,950",,,149,최종 공격력 149% 증가,551,"38,626",-,"41,100",,,149,최종 크리티컬 데미지 149% 증가,692,"48,598",-,"44,360",,,,,,,,,,,,,,,,
,150,올스텟 +150,31,"2,325",💎 500,"10,850",,,,,,,,,,,150,환생 포인트 획득량 150% 증가,282,"20,160","💎 2,000","43,100",,,150,최종 STR 150% 증가,414,"29,064","💎 2,000","37,950",,,150,최종 DEX 150% 증가,414,"29,064","💎 2,000","37,950",,,150,최종 INT 150% 증가,414,"29,064","💎 2,000","37,950",,,150,최종 LUK 150% 증가,414,"29,064","💎 2,000","37,950",,,150,최종 공격력 150% 증가,555,"39,177","💎 2,000","43,100",,,150,최종 크리티컬 데미지 150% 증가,697,"49,290","💎 2,000","46,360",,,,,,,,,,,,,,,,
,151,올스텟 +151,31,"2,356",-,"10,850",,,,,,,,,,,151,환생 포인트 획득량 151% 증가,284,"20,442",-,"43,100",,,151,최종 STR 151% 증가,417,"29,478",-,"37,950",,,151,최종 DEX 151% 증가,417,"29,478",-,"37,950",,,151,최종 INT 151% 증가,417,"29,478",-,"37,950",,,151,최종 LUK 151% 증가,417,"29,478",-,"37,950",,,151,최종 공격력 151% 증가,560,"39,732",-,"43,100",,,151,최종 크리티컬 데미지 151% 증가,702,"49,987",-,"46,360",,,,,,,,,,,,,,,,
,152,올스텟 +152,31,"2,387",-,"10,850",,,,,,,,,,,152,환생 포인트 획득량 152% 증가,286,"20,726",-,"43,100",,,152,최종 STR 152% 증가,420,"29,895",-,"37,950",,,152,최종 DEX 152% 증가,420,"29,895",-,"37,950",,,152,최종 INT 152% 증가,420,"29,895",-,"37,950",,,152,최종 LUK 152% 증가,420,"29,895",-,"37,950",,,152,최종 공격력 152% 증가,564,"40,292",-,"43,100",,,152,최종 크리티컬 데미지 152% 증가,707,"50,689",-,"46,360",,,,,,,,,,,,,,,,
,153,올스텟 +153,31,"2,418",-,"10,850",,,,,,,,,,,153,환생 포인트 획득량 153% 증가,288,"21,012",-,"43,100",,,153,최종 STR 153% 증가,423,"30,315",-,"37,950",,,153,최종 DEX 153% 증가,423,"30,315",-,"37,950",,,153,최종 INT 153% 증가,423,"30,315",-,"37,950",,,153,최종 LUK 153% 증가,423,"30,315",-,"37,950",,,153,최종 공격력 153% 증가,568,"40,856",-,"43,100",,,153,최종 크리티컬 데미지 153% 증가,712,"51,396",-,"46,360",,,,,,,,,,,,,,,,
,154,올스텟 +154,31,"2,449",-,"10,850",,,,,,,,,,,154,환생 포인트 획득량 154% 증가,290,"21,300",-,"43,100",,,154,최종 STR 154% 증가,426,"30,738",-,"37,950",,,154,최종 DEX 154% 증가,426,"30,738",-,"37,950",,,154,최종 INT 154% 증가,426,"30,738",-,"37,950",,,154,최종 LUK 154% 증가,426,"30,738",-,"37,950",,,154,최종 공격력 154% 증가,572,"41,424",-,"43,100",,,154,최종 크리티컬 데미지 154% 증가,717,"52,108",-,"46,360",,,,,,,,,,,,,,,,
,155,올스텟 +155,32,"2,480",💎 510,"11,360",,,,,,,,,,,155,환생 포인트 획득량 155% 증가,293,"21,590","💎 2,000","45,100",,,155,최종 STR 155% 증가,430,"31,164","💎 2,000","39,950",,,155,최종 DEX 155% 증가,430,"31,164","💎 2,000","39,950",,,155,최종 INT 155% 증가,430,"31,164","💎 2,000","39,950",,,155,최종 LUK 155% 증가,430,"31,164","💎 2,000","39,950",,,155,최종 공격력 155% 증가,576,"41,996","💎 2,000","45,100",,,155,최종 크리티컬 데미지 155% 증가,723,"52,825","💎 2,000","48,360",,,,,,,,,,,,,,,,
,156,올스텟 +156,32,"2,512",-,"11,360",,,,,,,,,,,156,환생 포인트 획득량 156% 증가,295,"21,883",-,"45,100",,,156,최종 STR 156% 증가,433,"31,594",-,"39,950",,,156,최종 DEX 156% 증가,433,"31,594",-,"39,950",,,156,최종 INT 156% 증가,433,"31,594",-,"39,950",,,156,최종 LUK 156% 증가,433,"31,594",-,"39,950",,,156,최종 공격력 156% 증가,580,"42,572",-,"45,100",,,156,최종 크리티컬 데미지 156% 증가,728,"53,548",-,"48,360",,,,,,,,,,,,,,,,
,157,올스텟 +157,32,"2,544",-,"11,360",,,,,,,,,,,157,환생 포인트 획득량 157% 증가,297,"22,178",-,"45,100",,,157,최종 STR 157% 증가,436,"32,027",-,"39,950",,,157,최종 DEX 157% 증가,436,"32,027",-,"39,950",,,157,최종 INT 157% 증가,436,"32,027",-,"39,950",,,157,최종 LUK 157% 증가,436,"32,027",-,"39,950",,,157,최종 공격력 157% 증가,584,"43,152",-,"45,100",,,157,최종 크리티컬 데미지 157% 증가,733,"54,276",-,"48,360",,,,,,,,,,,,,,,,
,158,올스텟 +158,32,"2,576",-,"11,360",,,,,,,,,,,158,환생 포인트 획득량 158% 증가,299,"22,475",-,"45,100",,,158,최종 STR 158% 증가,439,"32,463",-,"39,950",,,158,최종 DEX 158% 증가,439,"32,463",-,"39,950",,,158,최종 INT 158% 증가,439,"32,463",-,"39,950",,,158,최종 LUK 158% 증가,439,"32,463",-,"39,950",,,158,최종 공격력 158% 증가,588,"43,736",-,"45,100",,,158,최종 크리티컬 데미지 158% 증가,738,"55,009",-,"48,360",,,,,,,,,,,,,,,,
,159,올스텟 +159,32,"2,608",-,"11,360",,,,,,,,,,,159,환생 포인트 획득량 159% 증가,301,"22,774",-,"45,100",,,159,최종 STR 159% 증가,442,"32,902",-,"39,950",,,159,최종 DEX 159% 증가,442,"32,902",-,"39,950",,,159,최종 INT 159% 증가,442,"32,902",-,"39,950",,,159,최종 LUK 159% 증가,442,"32,902",-,"39,950",,,159,최종 공격력 159% 증가,593,"44,324",-,"45,100",,,159,최종 크리티컬 데미지 159% 증가,743,"55,747",-,"48,360",,,,,,,,,,,,,,,,
,160,올스텟 +160,33,"2,640",💎 520,"11,880",,,,,,,,,,,160,환생 포인트 획득량 160% 증가,303,"23,075","💎 2,000","47,100",,,160,최종 STR 160% 증가,445,"33,344","💎 2,000","41,950",,,160,최종 DEX 160% 증가,445,"33,344","💎 2,000","41,950",,,160,최종 INT 160% 증가,445,"33,344","💎 2,000","41,950",,,160,최종 LUK 160% 증가,445,"33,344","💎 2,000","41,950",,,160,최종 공격력 160% 증가,597,"44,917","💎 2,000","47,100",,,160,최종 크리티컬 데미지 160% 증가,748,"56,490","💎 2,000","50,360",,,,,,,,,,,,,,,,
,161,올스텟 +161,33,"2,673",-,"11,880",,,,,,,,,,,161,환생 포인트 획득량 161% 증가,305,"23,378",-,"47,100",,,161,최종 STR 161% 증가,448,"33,789",-,"41,950",,,161,최종 DEX 161% 증가,448,"33,789",-,"41,950",,,161,최종 INT 161% 증가,448,"33,789",-,"41,950",,,161,최종 LUK 161% 증가,448,"33,789",-,"41,950",,,161,최종 공격력 161% 증가,601,"45,514",-,"47,100",,,161,최종 크리티컬 데미지 161% 증가,754,"57,238",-,"50,360",,,,,,,,,,,,,,,,
,162,올스텟 +162,33,"2,706",-,"11,880",,,,,,,,,,,162,환생 포인트 획득량 162% 증가,307,"23,683",-,"47,100",,,162,최종 STR 162% 증가,451,"34,237",-,"41,950",,,162,최종 DEX 162% 증가,451,"34,237",-,"41,950",,,162,최종 INT 162% 증가,451,"34,237",-,"41,950",,,162,최종 LUK 162% 증가,451,"34,237",-,"41,950",,,162,최종 공격력 162% 증가,605,"46,115",-,"47,100",,,162,최종 크리티컬 데미지 162% 증가,759,"57,992",-,"50,360",,,,,,,,,,,,,,,,
,163,올스텟 +163,33,"2,739",-,"11,880",,,,,,,,,,,163,환생 포인트 획득량 163% 증가,309,"23,990",-,"47,100",,,163,최종 STR 163% 증가,454,"34,688",-,"41,950",,,163,최종 DEX 163% 증가,454,"34,688",-,"41,950",,,163,최종 INT 163% 증가,454,"34,688",-,"41,950",,,163,최종 LUK 163% 증가,454,"34,688",-,"41,950",,,163,최종 공격력 163% 증가,609,"46,720",-,"47,100",,,163,최종 크리티컬 데미지 163% 증가,764,"58,751",-,"50,360",,,,,,,,,,,,,,,,
,164,올스텟 +164,33,"2,772",-,"11,880",,,,,,,,,,,164,환생 포인트 획득량 164% 증가,311,"24,299",-,"47,100",,,164,최종 STR 164% 증가,458,"35,142",-,"41,950",,,164,최종 DEX 164% 증가,458,"35,142",-,"41,950",,,164,최종 INT 164% 증가,458,"35,142",-,"41,950",,,164,최종 LUK 164% 증가,458,"35,142",-,"41,950",,,164,최종 공격력 164% 증가,613,"47,329",-,"47,100",,,164,최종 크리티컬 데미지 164% 증가,769,"59,515",-,"50,360",,,,,,,,,,,,,,,,
,165,올스텟 +165,34,"2,805",💎 530,"12,410",,,,,,,,,,,165,환생 포인트 획득량 165% 증가,313,"24,610","💎 2,000","49,100",,,165,최종 STR 165% 증가,461,"35,600","💎 2,000","43,950",,,165,최종 DEX 165% 증가,461,"35,600","💎 2,000","43,950",,,165,최종 INT 165% 증가,461,"35,600","💎 2,000","43,950",,,165,최종 LUK 165% 증가,461,"35,600","💎 2,000","43,950",,,165,최종 공격력 165% 증가,617,"47,942","💎 2,000","49,100",,,165,최종 크리티컬 데미지 165% 증가,774,"60,284","💎 2,000","52,360",,,,,,,,,,,,,,,,
,166,올스텟 +166,34,"2,839",-,"12,410",,,,,,,,,,,166,환생 포인트 획득량 166% 증가,315,"24,923",-,"49,100",,,166,최종 STR 166% 증가,464,"36,061",-,"43,950",,,166,최종 DEX 166% 증가,464,"36,061",-,"43,950",,,166,최종 INT 166% 증가,464,"36,061",-,"43,950",,,166,최종 LUK 166% 증가,464,"36,061",-,"43,950",,,166,최종 공격력 166% 증가,622,"48,559",-,"49,100",,,166,최종 크리티컬 데미지 166% 증가,779,"61,058",-,"52,360",,,,,,,,,,,,,,,,
,167,올스텟 +167,34,"2,873",-,"12,410",,,,,,,,,,,167,환생 포인트 획득량 167% 증가,317,"25,238",-,"49,100",,,167,최종 STR 167% 증가,467,"36,525",-,"43,950",,,167,최종 DEX 167% 증가,467,"36,525",-,"43,950",,,167,최종 INT 167% 증가,467,"36,525",-,"43,950",,,167,최종 LUK 167% 증가,467,"36,525",-,"43,950",,,167,최종 공격력 167% 증가,626,"49,181",-,"49,100",,,167,최종 크리티컬 데미지 167% 증가,785,"61,837",-,"52,360",,,,,,,,,,,,,,,,
,168,올스텟 +168,34,"2,907",-,"12,410",,,,,,,,,,,168,환생 포인트 획득량 168% 증가,319,"25,555",-,"49,100",,,168,최종 STR 168% 증가,470,"36,992",-,"43,950",,,168,최종 DEX 168% 증가,470,"36,992",-,"43,950",,,168,최종 INT 168% 증가,470,"36,992",-,"43,950",,,168,최종 LUK 168% 증가,470,"36,992",-,"43,950",,,168,최종 공격력 168% 증가,630,"49,807",-,"49,100",,,168,최종 크리티컬 데미지 168% 증가,790,"62,622",-,"52,360",,,,,,,,,,,,,,,,
,169,올스텟 +169,34,"2,941",-,"12,410",,,,,,,,,,,169,환생 포인트 획득량 169% 증가,321,"25,874",-,"49,100",,,169,최종 STR 169% 증가,473,"37,462",-,"43,950",,,169,최종 DEX 169% 증가,473,"37,462",-,"43,950",,,169,최종 INT 169% 증가,473,"37,462",-,"43,950",,,169,최종 LUK 169% 증가,473,"37,462",-,"43,950",,,169,최종 공격력 169% 증가,634,"50,437",-,"49,100",,,169,최종 크리티컬 데미지 169% 증가,795,"63,412",-,"52,360",,,,,,,,,,,,,,,,
,170,올스텟 +170,35,"2,975",💎 540,"12,950",,,,,,,,,,,170,환생 포인트 획득량 170% 증가,323,"26,195","💎 2,000","51,100",,,170,최종 STR 170% 증가,476,"37,935","💎 2,000","45,950",,,170,최종 DEX 170% 증가,476,"37,935","💎 2,000","45,950",,,170,최종 INT 170% 증가,476,"37,935","💎 2,000","45,950",,,170,최종 LUK 170% 증가,476,"37,935","💎 2,000","45,950",,,170,최종 공격력 170% 증가,638,"51,071","💎 2,000","51,100",,,170,최종 크리티컬 데미지 170% 증가,800,"64,207","💎 2,000","54,360",,,,,,,,,,,,,,,,
,171,올스텟 +171,35,"3,010",-,"12,950",,,,,,,,,,,171,환생 포인트 획득량 171% 증가,325,"26,518",-,"51,100",,,171,최종 STR 171% 증가,479,"38,411",-,"45,950",,,171,최종 DEX 171% 증가,479,"38,411",-,"45,950",,,171,최종 INT 171% 증가,479,"38,411",-,"45,950",,,171,최종 LUK 171% 증가,479,"38,411",-,"45,950",,,171,최종 공격력 171% 증가,642,"51,709",-,"51,100",,,171,최종 크리티컬 데미지 171% 증가,805,"65,007",-,"54,360",,,,,,,,,,,,,,,,
